QB
Jalen Hurts/PHI/4/32.9
Lamar Jackson/BAL/4/35.7
Josh Allen/BUF/5/30.7
Pat Mahomes/KC/5/28.6
Kyler Murray/ARI/6/91.2
Dak Prescott/DAL/7/74.1
Joe Burrow/CIN/7/62.2
CJ Stroud/HOU/7/46.7
Anthony Richardson/IND/8/50.9
Brock Purdy/SF/8/107.5
Jordan Love/GB/8/87.8
Jayden Daniels/WAS/9/123.4
Caleb Williams/CHI/9/128.8
Jared Goff/DET/10/149.8
Matthew Stafford/LAR/11/163.5
Tua Tagovailoa/MIA/11/137.6
Trevor Lawrence/JAX/12/156.0
Deshaun Watson/CLE/13/160.7
Justin Herbert/LAC/13/157.1
Kirk Cousins/ATL/13/151.7
Aaron Rodgers/NYJ/13/128.3
Daniel Jones/NYG/14/169.6
Geno Smith/SEA/16/169.8
Baker Mayfield/TB/16/164.9
RB
Christian McCaffrey/SF/1/1.5
Bijan Robinson/ATL/1/6.9
Jonathan Taylor/IND/1/12.2
Breece Hall/NYJ/1/5.6
Saquon Barkley/PHI/2/12.0
Jahmyr Gibbs/DET/2/15.5
De'Von Achane/MIA/3/34.8
Rachaad White/TB/3/40.7
Travis Etienne/JAX/3/23.4
Isiah Pacheco/KC/4/19.9
Derrick Henry/TEN/4/18.8
James Cook/BUF/4/34.4
Alvin Kamara/NO/4/37.9
Joe Mixon/HOU/5/37.0
Josh Jacobs/GB/5/42.1
Kenneth Walker/SEA/5/49.1
David Montgomery/DET/5/76.2
Kyren Williams/LAR/5/18.5
Rhamondre Stevenson/NE/5/67.4
D'Andre Swift/CHI/6/75.2
Najee Harris/PIT/6/93.4
Tony Pollard/TEN/6/107.2
Brian Robinson/WAS/7/95.4
Aaron Jones/MIN/7/64.1
Jaylen Warren/PIT/8/96.1
James Conner/ARI/8/85.3
Chase Brown/CIN/8/138.0
Jonathon Brooks/CAR/9/92.9
Blake Corum/LAR/9/130.1
Tyjae Spears/TEN/9/109.4
Nick Chubb/CLE/10/110.5
Raheem Mostert/MIA/10/104.5
Javonte Williams/DEN/10/108.7
Zamir White/LV/10/81.0
Devin Singletary/NYG/11/121.4
Gus Edwards/LAC/11/136.6
Zack Moss/CIN/11/113.1
Zach Charbonnet/SEA/12/139.2
Trey Benson/ARI/12/135.8
Ezekiel Elliott/DAL/12/113.2
Austin Ekeler/WAS/13/109.7
Jerome Ford/CLE/13/133.8
Chuba Hubbard/CAR/13/166.8
Jaleel McLaughlin/DEN/14/166.0
JK Dobbins/LAC/14/139.4
Ty Chandler/MIN/14/161.0
Roschon Johnson/CHI/14/170.0
